Year,Month_name,State,ELECTRIC(BOV),Total,Perc
2014,oct,Mizoram,0.0,206.0,0.0
2014,nov,Mizoram,0.0,189.0,0.0
2014,dec,Mizoram,0.0,222.0,0.0
2014,jan,Nagaland,0.0,556.0,0.0
2014,feb,Nagaland,0.0,356.0,0.0
2014,mar,Nagaland,0.0,456.0,0.0
2014,apr,Nagaland,0.0,429.0,0.0
2014,may,Nagaland,0.0,455.0,0.0
2014,jun,Nagaland,0.0,368.0,0.0
2014,jul,Nagaland,0.0,490.0,0.0
2014,aug,Nagaland,0.0,344.0,0.0
2014,sep,Nagaland,0.0,467.0,0.0
2014,oct,Nagaland,0.0,413.0,0.0
2014,nov,Nagaland,0.0,465.0,0.0
2014,dec,Nagaland,0.0,357.0,0.0
2014,jan,Odisha,0.0,3119.0,0.0
2014,feb,Odisha,1.0,2198.0,0.05
2014,mar,Odisha,0.0,2646.0,0.0
2014,apr,Odisha,0.0,2507.0,0.0
2014,may,Odisha,0.0,2761.0,0.0
2014,jun,Odisha,0.0,2503.0,0.0
2014,jul,Odisha,0.0,2941.0,0.0
2014,aug,Odisha,0.0,2338.0,0.0
2014,sep,Odisha,0.0,2649.0,0.0
2014,oct,Odisha,0.0,3306.0,0.0
2014,nov,Odisha,0.0,3303.0,0.0
2014,dec,Odisha,1.0,2836.0,0.04
2014,jan,Punjab,0.0,12741.0,0.0
2014,feb,Punjab,0.0,11353.0,0.0
2014,mar,Punjab,0.0,12990.0,0.0
2014,apr,Punjab,1.0,10568.0,0.01
2014,may,Punjab,0.0,10095.0,0.0
2014,jun,Punjab,0.0,9491.0,0.0
2014,jul,Punjab,1.0,11507.0,0.01
2014,aug,Punjab,0.0,9241.0,0.0
2014,sep,Punjab,0.0,9988.0,0.0
2014,oct,Punjab,0.0,4693.0,0.0
2014,nov,Punjab,0.0,13726.0,0.0
2014,dec,Punjab,0.0,14449.0,0.0
2014,jan,Puducherry,0.0,620.0,0.0
2014,feb,Puducherry,0.0,450.0,0.0
2014,mar,Puducherry,0.0,471.0,0.0
2014,apr,Puducherry,0.0,442.0,0.0
2014,may,Puducherry,0.0,517.0,0.0
2014,jan,Rajasthan,0.0,11069.0,0.0
2014,feb,Rajasthan,0.0,9933.0,0.0
2014,mar,Rajasthan,3.0,10759.0,0.03
2014,apr,Rajasthan,0.0,10105.0,0.0
2014,may,Rajasthan,0.0,12623.0,0.0
2014,jun,Rajasthan,0.0,11327.0,0.0
2014,jul,Rajasthan,0.0,10824.0,0.0
2014,aug,Rajasthan,0.0,9408.0,0.0
2014,sep,Rajasthan,0.0,9006.0,0.0
2014,oct,Rajasthan,0.0,12633.0,0.0
2014,nov,Rajasthan,0.0,11337.0,0.0
2014,dec,Rajasthan,0.0,11202.0,0.0
2014,jan,Sikkim,0.0,210.0,0.0
2014,feb,Sikkim,0.0,201.0,0.0
2014,mar,Sikkim,0.0,208.0,0.0
2014,apr,Sikkim,0.0,219.0,0.0
2014,may,Sikkim,0.0,232.0,0.0
2014,jun,Sikkim,0.0,211.0,0.0
2014,jul,Sikkim,0.0,226.0,0.0
2014,aug,Sikkim,0.0,220.0,0.0
2014,sep,Sikkim,0.0,265.0,0.0
2014,oct,Sikkim,0.0,219.0,0.0
2014,nov,Sikkim,0.0,213.0,0.0
2014,dec,Sikkim,0.0,175.0,0.0
2014,jan,Tamil Nadu,1.0,17597.0,0.01
2014,feb,Tamil Nadu,1.0,11237.0,0.01
2014,mar,Tamil Nadu,2.0,12893.0,0.02
2014,apr,Tamil Nadu,1.0,13804.0,0.01
2014,may,Tamil Nadu,2.0,13876.0,0.01
2014,jun,Tamil Nadu,2.0,14534.0,0.01
2014,jul,Tamil Nadu,0.0,14475.0,0.0
2014,aug,Tamil Nadu,3.0,13452.0,0.02
2014,sep,Tamil Nadu,2.0,14552.0,0.01
2014,oct,Tamil Nadu,4.0,11824.0,0.03
2014,nov,Tamil Nadu,1.0,11282.0,0.01
2014,dec,Tamil Nadu,0.0,11935.0,0.0
2014,jan,Tripura,0.0,393.0,0.0
2014,feb,Tripura,0.0,312.0,0.0
2014,mar,Tripura,0.0,316.0,0.0
2014,apr,Tripura,0.0,299.0,0.0
2014,may,Tripura,0.0,314.0,0.0
2014,jun,Tripura,0.0,302.0,0.0
2014,jul,Tripura,0.0,353.0,0.0
2014,aug,Tripura,0.0,345.0,0.0
2014,sep,Tripura,0.0,320.0,0.0
2014,oct,Tripura,0.0,319.0,0.0
2014,nov,Tripura,0.0,309.0,0.0
2014,dec,Tripura,0.0,315.0,0.0
2014,jan,Uttarakhand,0.0,3686.0,0.0
2014,feb,Uttarakhand,0.0,2871.0,0.0
2014,mar,Uttarakhand,0.0,3129.0,0.0
2014,apr,Uttarakhand,0.0,3448.0,0.0
2014,may,Uttarakhand,0.0,3018.0,0.0
2014,jun,Uttarakhand,0.0,2980.0,0.0
2014,jul,Uttarakhand,0.0,2887.0,0.0
2014,aug,Uttarakhand,0.0,2477.0,0.0
2014,sep,Uttarakhand,0.0,2480.0,0.0
2014,oct,Uttarakhand,0.0,3230.0,0.0
2014,nov,Uttarakhand,0.0,3752.0,0.0
2014,dec,Uttarakhand,0.0,2804.0,0.0
2014,jan,Uttar Pradesh,0.0,21953.0,0.0
2014,feb,Uttar Pradesh,0.0,16576.0,0.0
2014,mar,Uttar Pradesh,0.0,17775.0,0.0
2014,apr,Uttar Pradesh,0.0,19467.0,0.0
2014,may,Uttar Pradesh,0.0,18748.0,0.0
2014,jun,Uttar Pradesh,0.0,17308.0,0.0
2014,jul,Uttar Pradesh,0.0,16558.0,0.0
2014,aug,Uttar Pradesh,0.0,13145.0,0.0
2014,sep,Uttar Pradesh,0.0,12555.0,0.0
2014,oct,Uttar Pradesh,0.0,20206.0,0.0
2014,nov,Uttar Pradesh,0.0,17381.0,0.0
2014,dec,Uttar Pradesh,0.0,15260.0,0.0
2014,jan,West Bengal,1.0,6560.0,0.02
2014,feb,West Bengal,0.0,4024.0,0.0
2014,mar,West Bengal,0.0,4507.0,0.0
2014,apr,West Bengal,0.0,5559.0,0.0
2014,may,West Bengal,1.0,5093.0,0.02
2014,jun,West Bengal,0.0,5312.0,0.0
2014,jul,West Bengal,0.0,6023.0,0.0
2014,aug,West Bengal,0.0,5385.0,0.0
2014,sep,West Bengal,0.0,6324.0,0.0
2014,oct,West Bengal,0.0,5282.0,0.0
2014,nov,West Bengal,0.0,5616.0,0.0
2014,dec,West Bengal,0.0,5178.0,0.0
2014,jan,Jammu and Kashmir,0.0,3319.0,0.0
2014,feb,Jammu and Kashmir,0.0,2966.0,0.0
2014,mar,Jammu and Kashmir,0.0,3021.0,0.0
2014,apr,Jammu and Kashmir,1.0,3433.0,0.03
2014,may,Jammu and Kashmir,1.0,3109.0,0.03
2014,jun,Jammu and Kashmir,0.0,3014.0,0.0
2014,jul,Jammu and Kashmir,0.0,3029.0,0.0
2014,aug,Jammu and Kashmir,0.0,3558.0,0.0
2014,sep,Jammu and Kashmir,0.0,1816.0,0.0
2014,oct,Jammu and Kashmir,0.0,2540.0,0.0
2014,nov,Jammu and Kashmir,1.0,2899.0,0.03
2014,jan,Manipur,0.0,580.0,0.0
2014,feb,Manipur,0.0,393.0,0.0
2014,mar,Manipur,0.0,434.0,0.0
2014,apr,Manipur,0.0,522.0,0.0
2014,may,Manipur,0.0,509.0,0.0
2014,jun,Manipur,0.0,460.0,0.0
2014,jul,Manipur,0.0,463.0,0.0
2014,aug,Manipur,0.0,479.0,0.0
2014,sep,Manipur,0.0,445.0,0.0
2014,oct,Manipur,0.0,514.0,0.0
2014,nov,Manipur,0.0,490.0,0.0
2014,dec,Manipur,0.0,514.0,0.0
2014,jun,Puducherry,0.0,547.0,0.0
2014,jul,Puducherry,0.0,556.0,0.0
2014,aug,Puducherry,0.0,490.0,0.0
2014,sep,Puducherry,0.0,596.0,0.0
2014,oct,Puducherry,0.0,419.0,0.0
2014,nov,Puducherry,0.0,384.0,0.0
2014,dec,Puducherry,0.0,409.0,0.0
2014,dec,Jammu and Kashmir,0.0,2799.0,0.0
2015,oct,Andhra Pradesh,0.0,4190.0,0.0
2015,sep,Andhra Pradesh,0.0,3809.0,0.0
2015,aug,Andhra Pradesh,0.0,4092.0,0.0
2015,jul,Andhra Pradesh,0.0,4248.0,0.0
2015,jun,Andhra Pradesh,0.0,4621.0,0.0
2015,may,Andhra Pradesh,0.0,4410.0,0.0
2015,apr,Andhra Pradesh,0.0,4772.0,0.0
2015,mar,Andhra Pradesh,0.0,4425.0,0.0
2015,feb,Andhra Pradesh,0.0,5227.0,0.0
2015,jan,Andhra Pradesh,0.0,6032.0,0.0
2015,dec,Andhra Pradesh,0.0,4949.0,0.0
2015,nov,Andhra Pradesh,0.0,5605.0,0.0
2015,jul,Arunachal Pradesh,0.0,296.0,0.0
2015,jun,Arunachal Pradesh,0.0,303.0,0.0
2015,may,Arunachal Pradesh,0.0,297.0,0.0
2015,apr,Arunachal Pradesh,0.0,363.0,0.0
2015,mar,Arunachal Pradesh,0.0,290.0,0.0
2015,feb,Arunachal Pradesh,0.0,294.0,0.0
2015,jan,Arunachal Pradesh,0.0,300.0,0.0
2015,dec,Arunachal Pradesh,0.0,458.0,0.0
2015,nov,Arunachal Pradesh,0.0,414.0,0.0
2015,oct,Arunachal Pradesh,0.0,287.0,0.0
2015,sep,Arunachal Pradesh,0.0,278.0,0.0
2015,aug,Arunachal Pradesh,0.0,273.0,0.0
2015,jul,Assam,0.0,3293.0,0.0
2015,jun,Assam,0.0,3551.0,0.0
2015,may,Assam,0.0,3901.0,0.0
2015,apr,Assam,0.0,3665.0,0.0
2015,mar,Assam,0.0,4155.0,0.0
2015,feb,Assam,0.0,3846.0,0.0
2015,jan,Assam,0.0,4215.0,0.0
2015,dec,Assam,0.0,4960.0,0.0
2015,nov,Assam,0.0,4716.0,0.0
2015,oct,Assam,0.0,4955.0,0.0
2015,sep,Assam,1.0,4489.0,0.02
2015,aug,Assam,0.0,2081.0,0.0
2015,jan,Andaman & Nicobar Island,0.0,149.0,0.0
2015,feb,Andaman & Nicobar Island,0.0,98.0,0.0
2015,mar,Andaman & Nicobar Island,0.0,127.0,0.0
2015,apr,Andaman & Nicobar Island,0.0,113.0,0.0
2015,may,Andaman & Nicobar Island,0.0,84.0,0.0
2015,jun,Andaman & Nicobar Island,0.0,122.0,0.0
2015,jul,Andaman & Nicobar Island,0.0,130.0,0.0
2015,aug,Andaman & Nicobar Island,0.0,115.0,0.0
2015,sep,Andaman & Nicobar Island,0.0,125.0,0.0
2015,oct,Andaman & Nicobar Island,0.0,167.0,0.0
2015,nov,Andaman & Nicobar Island,0.0,177.0,0.0
2015,dec,Andaman & Nicobar Island,0.0,140.0,0.0
2015,jan,Bihar,0.0,3842.0,0.0
2015,feb,Bihar,0.0,3179.0,0.0
2015,mar,Bihar,2.0,3117.0,0.06
2015,apr,Bihar,0.0,2818.0,0.0
2015,may,Bihar,0.0,3402.0,0.0
2015,jun,Bihar,0.0,3335.0,0.0
2015,jul,Bihar,0.0,2533.0,0.0
2015,aug,Bihar,0.0,3085.0,0.0
2015,sep,Bihar,0.0,3260.0,0.0
2015,oct,Bihar,1.0,2829.0,0.04
2015,nov,Bihar,0.0,4120.0,0.0
2015,dec,Bihar,0.0,4452.0,0.0
2015,jan,Chhattisgarh,0.0,3065.0,0.0
2015,feb,Chhattisgarh,0.0,2115.0,0.0
2015,mar,Chhattisgarh,0.0,2108.0,0.0
2015,apr,Chhattisgarh,1.0,2284.0,0.04
2015,may,Chhattisgarh,1.0,2337.0,0.04
2015,jun,Chhattisgarh,0.0,2162.0,0.0
2015,jul,Chhattisgarh,0.0,2882.0,0.0
2015,aug,Chhattisgarh,0.0,1456.0,0.0
2015,sep,Chhattisgarh,0.0,1883.0,0.0
2015,oct,Chhattisgarh,0.0,2456.0,0.0
2015,nov,Chhattisgarh,0.0,3509.0,0.0
2015,dec,Chhattisgarh,0.0,2246.0,0.0
2015,jan,Chandigarh,0.0,1843.0,0.0
2015,feb,Chandigarh,0.0,1513.0,0.0
2015,mar,Chandigarh,0.0,1424.0,0.0
2015,apr,Chandigarh,0.0,1361.0,0.0
2015,may,Chandigarh,0.0,1552.0,0.0
2015,jun,Chandigarh,0.0,1420.0,0.0
2015,jul,Chandigarh,0.0,1217.0,0.0
2015,aug,Chandigarh,0.0,1573.0,0.0
2015,sep,Chandigarh,0.0,1305.0,0.0
2015,oct,Chandigarh,0.0,1073.0,0.0
2015,nov,Chandigarh,1.0,1797.0,0.06
2015,dec,Chandigarh,1.0,1628.0,0.06
2015,jan,DNH and DD,0.0,350.0,0.0
2015,feb,DNH and DD,1.0,279.0,0.36
2015,mar,DNH and DD,0.0,296.0,0.0
2015,apr,DNH and DD,0.0,287.0,0.0
2015,may,DNH and DD,0.0,271.0,0.0
2015,jun,DNH and DD,0.0,259.0,0.0
2015,jul,DNH and DD,0.0,262.0,0.0
2015,aug,DNH and DD,0.0,233.0,0.0
2015,sep,DNH and DD,0.0,311.0,0.0
2015,oct,DNH and DD,0.0,278.0,0.0
2015,nov,DNH and DD,0.0,424.0,0.0
2015,dec,DNH and DD,0.0,346.0,0.0
2015,jan,Delhi,3.0,17956.0,0.02
2015,feb,Delhi,3.0,11681.0,0.03
2015,mar,Delhi,6.0,13846.0,0.04
2015,apr,Delhi,2.0,14394.0,0.01
