image,name,range,effeciency,battery,price
https://ev-database.org/img/auto/Opel_Corsa_Electric_2023/Opel_Corsa_Electric_2023-01-thumb.jpg,OpelCorsa,290 km,160 Wh/km,46.3 kWh,"€29,990"
https://ev-database.org/img/auto/Toyota_bZ4X_2025/Toyota_bZ4X_2025-01-thumb.jpg,ToyotabZ4X,385 km,179 Wh/km,69.0 kWh,"€47,990"
https://ev-database.org/img/auto/BMW_i4_2024/BMW_i4_2024-01-thumb.jpg,BMWi4,435 km,154 Wh/km,67.1 kWh,"€57,600"
https://ev-database.org/img/auto/Lexus_RZ_2026/Lexus_RZ_2026-01-thumb.jpg,LexusRZ,395 km,182 Wh/km,72.0 kWh,"€63,000"
https://ev-database.org/img/auto/Porsche_Taycan_2024/Porsche_Taycan_2024-01-thumb.jpg,PorscheTaycan,575 km,169 Wh/km,97.0 kWh,"€107,224"
https://ev-database.org/img/auto/NIO_EL8/NIO_EL8-01-thumb.jpg,NIOEL8,440 km,205 Wh/km,90.0 kWh,"€103,900"
https://ev-database.org/img/auto/Mercedes_EQS_2024/Mercedes_EQS_2024-01-thumb.jpg,Mercedes-BenzEQS,640 km,184 Wh/km,118.0 kWh,"€141,705"
https://ev-database.org/img/auto/Audi_e-tron_GT_S_2025/Audi_e-tron_GT_S_2025-01-thumb.jpg,Audie-tron,540 km,180 Wh/km,97.0 kWh,"€126,000"
https://ev-database.org/img/auto/Nissan_Micra_2025/Nissan_Micra_2025-01-thumb.jpg,NissanMicra,330 km,158 Wh/km,52.0 kWh,"€32,990"
https://ev-database.org/img/auto/Porsche_Taycan_2024/Porsche_Taycan_2024-01-thumb.jpg,PorscheTaycan,525 km,185 Wh/km,97.0 kWh,"€209,900"
https://ev-database.org/img/auto/Cupra_el-Born_Veloz/Cupra_el-Born_Veloz-01-thumb.jpg,CUPRABorn,465 km,170 Wh/km,79.0 kWh,"€52,870"
https://ev-database.org/img/auto/Renault_Scenic_ETech/Renault_Scenic_ETech-01-thumb.jpg,RenaultScenic,340 km,176 Wh/km,60.0 kWh,"€40,400"
https://ev-database.org/img/auto/MG_IM6_2025/MG_IM6_2025-01-thumb.jpg,MGIM6,440 km,219 Wh/km,96.5 kWh,"£50,995"
https://ev-database.org/img/auto/Hongqi_E-H7/Hongqi_E-H7-01-thumb.jpg,HongqiEH7,550 km,173 Wh/km,95.3 kWh,"€58,995"
https://ev-database.org/img/auto/Opel_Astra_Sports_Tourer_Electric/Opel_Astra_Sports_Tourer_Electric-01-thumb.jpg,OpelAstra,310 km,164 Wh/km,50.8 kWh,"€43,490"
https://ev-database.org/img/auto/Maserati_GranTurismo_Folgore/Maserati_GranTurismo_Folgore-01-thumb.jpg,MaseratiGranTurismo,420 km,198 Wh/km,83.0 kWh,"€198,212"
https://ev-database.org/img/auto/Polestar_3/Polestar_3-01-thumb.jpg,Polestar3,480 km,223 Wh/km,107.0 kWh,"€92,190"
https://ev-database.org/img/auto/Volkswagen_ID4_2024/Volkswagen_ID4_2024-01-thumb.jpg,VolkswagenID.4,285 km,182 Wh/km,52.0 kWh,"€40,335"
